Question,OriginalQuestion,qwen72b,llama70b,gptoss120b,in_all_failed_subset
What is the primary target platform for Network Share Connection Removal exploits?,Which platform serves as the primary focus for Network Share Connection Removal attacks?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What mechanisms allow Thread Local Storage to avoid being detected by security software and systems?,How does Thread Local Storage manage to evade the detection of security systems and software?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security measures can Mshta potentially circumvent or render inoperable?,What types of defenses or security controls can Mshta compromise or disable?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the primary objective of an attacker's manipulation of the Server Software Component?,What does an attacker seek to accomplish with Server Software Component?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What kind of system is frequently targeted by malware that targets Domain Controller Authentication?,What type of platform is often compromised by Domain Controller Authentication malware?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What mechanisms does Compromise Application Executable employ to successfully breach or penetrate various security systems and defenses?,How does Compromise Application Executable manage to breach or penetrate security systems and defenses?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What methods do Print Processors employ in order to avoid detection and sustain their operational presence?,What techniques does Print Processors use to evade detection and remain active?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What security features do adversaries exploit in Serverless environments?,What security features are bypassed by Serverless?,NOT_EQUIVALENT,NOT_EQUIVALENT,NOT_EQUIVALENT,True
What techniques does Additional Cloud Roles employ to avoid detection by security systems and software?,How does Additional Cloud Roles manage to evade the detection of security systems and software?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
"Which security systems or defenses can be compromised, disabled, or bypassed by Install Insecure or Malicious Configuration?","What types of defenses or security systems can Install Insecure or Malicious Configuration compromise, disable, or bypass?",EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What platform is the LC_MAIN Hijacking technique typically intended for?,What type of platform is LC_MAIN Hijacking typically designed for?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
On what platform are Unsecured Credentials typically deployed or executed?,On which platform is Unsecured Credentials typically deployed or executed?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What methods does the Safe Mode Boot employ to evade detection and continue its operation?,What techniques does Safe Mode Boot use to evade detection and remain active?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What security protocols does Active Setup have the capability to bypass or evade?,Identify the security protocols that Active Setup can circumvent.,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What does the SNMP (MIB Dump) operation ultimately aim to reveal?,What is the ultimate target of SNMP (MIB Dump)?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
How do adversaries utilize Search Open Technical Databases to circumvent existing security measures?,In what ways does Search Open Technical Databases evade the defenses put in place?,EQUIVALENT,NOT_EQUIVALENT,NOT_EQUIVALENT,True
What techniques does Modify System Partition use to circumvent the defenses of security systems?,Can you describe the methods by which Modify System Partition evades the defenses of security systems?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
"What security systems or defenses can potentially be compromised, disabled, or circumvented by Gather Victim Network Information?","What types of defenses or security systems can Gather Victim Network Information compromise, disable, or bypass?",EQUIVALENT,EQUIVALENT,EQUIVALENT,False
How do adversaries utilize Network Trust Dependencies to bypass established security measures?,In what ways does Network Trust Dependencies evade the defenses put in place?,EQUIVALENT,NOT_EQUIVALENT,NOT_EQUIVALENT,False
What mechanisms enable Sudo Caching to avoid detection by antivirus software?,How does Sudo Caching successfully evade detection by antivirus software?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What techniques or strategies do malicious actors use to breach or penetrate security systems and defenses via Drive-by Target attacks?,How does Drive-by Target manage to breach or penetrate security systems and defenses?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
How does Autorun Image employ various tactics to stay undetected and maintain its active status?,What techniques does Autorun Image use to evade detection and remain active?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What security protocols are potentially circumvented by the Plist Modification?,What security measures does Plist Modification manage to bypass or undermine?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security measures does Timestomp utilize evasion techniques to circumvent?,What techniques does Timestomp use to bypass security measures?,EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,False
What is Multi-hop Proxy primarily designed for?,What platform is Multi-hop Proxy specifically tailored for?,NOT_EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,True
What security vulnerabilities or weaknesses are being exploited or utilized by the Application Access Token?,What are the security weaknesses or vulnerabilities that Application Access Token exploits or leverages?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
How do security systems fail to detect SSH Authorized Keys?,Can you explain how SSH Authorized Keys evades detection by security systems?,EQUIVALENT,NOT_EQUIVALENT,EQUIVALENT,True
What techniques does an attacker utilize to evade detection by antivirus software through Process Injection?,How does Process Injection successfully evade detection by antivirus software?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What security measures does Silver Ticket employ to evade or circumvent?,What techniques does Silver Ticket use to bypass security measures?,NOT_EQUIVALENT,NOT_EQUIVALENT,NOT_EQUIVALENT,False
What is the main purpose behind implementing Redundant Access?,What is the primary goal of Redundant Access?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What are the different monikers or designations associated with the Wizard Spider group?,What are the various names used to refer to the Wizard Spider group?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security measures are vulnerable to being bypassed or undermined by the Disable or Modify Cloud Firewall functionality?,What security measures does Disable or Modify Cloud Firewall manage to bypass or undermine?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What platform does the function of Change Operating Mode execute or affect?,Which platform does Change Operating Mode target or operate on?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security weaknesses or vulnerabilities does Modify Trusted Execution Environment take advantage of or rely on?,What are the security weaknesses or vulnerabilities that Modify Trusted Execution Environment exploits or leverages?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the primary purpose of the KernelCallbackTable?,What is the main intention of a KernelCallbackTable?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What techniques do IIS Components employ to avoid detection and bypass security measures?,What strategies does IIS Components use to evade security defenses and remain undetected?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What is the primary objective of the Serverless paradigm?,What is the ultimate target of Serverless?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What methods do malicious actors employ for Network Share Connection Removal to successfully circumvent security protocols and defenses?,How does Network Share Connection Removal manage to breach or penetrate security systems and defenses?,NOT_EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security measures does Exploit Baseband Vulnerability employ techniques to circumvent?,What techniques does Exploit Baseband Vulnerability use to bypass security measures?,EQUIVALENT,NOT_EQUIVALENT,NOT_EQUIVALENT,False
What platform is Clear Network Connection History and Configurations intended to operate efficiently on?,On which platform is Clear Network Connection History and Configurations designed to function effectively?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is COR_PROFILER primarily intended for use on?,What type of platform is COR_PROFILER typically designed for?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the intended target platform for the Expand software to operate on?,On which platform is Expand designed to run?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security measures fail to block or mitigate Trusted Developer Utilities Proxy Execution?,What security measures are unable to prevent Trusted Developer Utilities Proxy Execution?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
On which systems or platforms is the feature Use Alternate Authentication Material generally implemented or activated?,On which platform is Use Alternate Authentication Material typically deployed or executed?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What types of security vulnerabilities can be exploited to Gather Victim Identity Information?,What security measures are vulnerable to Gather Victim Identity Information?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What vulnerabilities can be exploited by unauthorized access to Device Administrator Permissions?,What defense mechanisms are vulnerable to exploitation by Device Administrator Permissions?,NOT_EQUIVALENT,NOT_EQUIVALENT,NOT_EQUIVALENT,False
What security defenses does Local Job Scheduling typically try to evade through its methods?,What methods does Local Job Scheduling employ to evade security defenses?,EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,False
What is the purpose of PubPrn?,What is the intention behind PubPrn?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What security protocols can be bypassed or circumvented by the Windows Credential Manager?,Identify the security protocols that Windows Credential Manager can circumvent.,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
How do adversaries leverage Denial of View to bypass or evade established security defenses?,In what ways does Denial of View evade the defenses put in place?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security features are compromised by Theft of Operational Information?,What security features are bypassed by Theft of Operational Information?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What types of defenses are susceptible to exploitation through Scheduled Task/Job?,What defense mechanisms are vulnerable to exploitation by Scheduled Task/Job?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the primary target of Hooking's intended use?,For which platform is Hooking primarily intended?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What platform is primarily targeted by the security feature known as Signed Binary Proxy Execution?,For which platform is Signed Binary Proxy Execution primarily intended?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What vulnerability is the Executable Installer File Permissions Weakness ultimately aimed at?,What is the ultimate target of Executable Installer File Permissions Weakness?,NOT_EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What vulnerabilities or security weaknesses are exploited or utilized by Local Email Collection?,What are the security weaknesses or vulnerabilities that Local Email Collection exploits or leverages?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the ultimate goal an attacker aims to achieve with the Golden Ticket?,What does an attacker seek to accomplish with Golden Ticket?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What platforms are typically vulnerable to significant threats from Code Injection?,For what type of platform is Code Injection considered a significant threat?,NOT_EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What type of platform is typically linked to Runtime Data Manipulation?,What kind of platform is Runtime Data Manipulation most commonly associated with?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What platform is Email Account intended to operate optimally on?,On which platform is Email Account designed to function effectively?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security controls are vulnerable to modification during the Modify Authentication Process?,Which security controls are susceptible to Modify Authentication Process?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security protocols or measures could be vulnerable to compromise or undermining due to Web Session Cookie?,What security protocols or measures can Web Session Cookie compromise or undermine?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
On what platforms are Shared Modules usually run or deployed?,On which platform is Shared Modules typically deployed or executed?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What platforms is Capture SMS Messages regarded as a considerable threat to?,For what type of platform is Capture SMS Messages considered a significant threat?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security measures are potentially evaded by the utilization of Data from Network Shared Drive?,What security features are bypassed by Data from Network Shared Drive?,EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,False
What methods are employed by Network Service Scanning to avoid detection by antivirus software?,How does Network Service Scanning successfully evade detection by antivirus software?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What methods does Msiexec employ to avoid detection by security defenses?,How does Msiexec manage to evade detection by defenses?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
Which security measures are often circumvented or undermined in Sharepoint?,What security protocols are bypassed or compromised by Sharepoint?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is Launchd primarily intended for use on?,What type of platform is Launchd typically designed for?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the objective of a malicious actor when targeting the LSASS Driver?,What does an attacker seek to accomplish with LSASS Driver?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What platform is commonly used for the deployment or execution of URI Hijacking?,On which platform is URI Hijacking typically deployed or executed?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the primary target environment for development using Electron Applications?,What type of platform is Electron Applications typically designed for?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security systems or defenses can a malicious actor attempt to Modify Parameter to disable or bypass?,"What types of defenses or security systems can Modify Parameter compromise, disable, or bypass?",NOT_EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,False
What methods does Inter-Process Communication employ to successfully evade detection by defensive systems?,How does Inter-Process Communication manage to evade detection by defenses?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
"What security systems or defenses can be compromised, disabled, or circumvented by accessing /etc/passwd and /etc/shadow?","What types of defenses or security systems can /etc/passwd and /etc/shadow compromise, disable, or bypass?",EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What methods do malicious actors use to avoid being detected by security systems when Weaken Encryption is employed?,Can you explain how Weaken Encryption evades detection by security systems?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What platforms does Masquerading typically target or operate within?,Which platform does Masquerading target or operate on?,NOT_EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,False
What security measures can be vulnerable to exploitation via PowerShell?,What defensive techniques can be compromised by PowerShell?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What techniques does Regsvcs/Regasm employ to avoid being detected by security defenses?,How does Regsvcs/Regasm manage to evade detection by defenses?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security measures can Active Setup potentially compromise or weaken?,What security protocols or measures can Active Setup compromise or undermine?,EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,False
What platforms are Clipboard Modification intended to operate on efficiently?,On which platform is Clipboard Modification designed to function effectively?,EQUIVALENT,NOT_EQUIVALENT,EQUIVALENT,False
What platforms are commonly targeted by attacks utilizing Defacement malware?,What type of platform is often compromised by Defacement malware?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What security measures or controls can Spearphishing Voice potentially circumvent or evade?,What are the security controls or measures that Spearphishing Voice can bypass or evade?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
How do Control Device Identification tactics manage to bypass or circumvent existing defensive measures?,In what ways does Control Device Identification evade the defenses put in place?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What platforms are frequently targeted by the malware known as Indicator Removal from Tools?,What type of platform is often compromised by Indicator Removal from Tools malware?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What platforms does Network Boundary Bridging target or operate on?,Which platform does Network Boundary Bridging target or operate on?,NOT_EQUIVALENT,NOT_EQUIVALENT,NOT_EQUIVALENT,False
For what purpose is Scripting generally intended to be utilized?,What type of platform is Scripting typically designed for?,NOT_EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,True
What security measures are susceptible to being circumvented by Spoof Security Alerting?,Which defense strategies can be evaded by Spoof Security Alerting?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
How do attackers utilize Capture SMS Messages to circumvent security measures in place?,In what ways does Capture SMS Messages evade the defenses put in place?,EQUIVALENT,NOT_EQUIVALENT,EQUIVALENT,False
"What security measures can Input Capture successfully evade, bypass, or disable?","What are the defenses that Input Capture can successfully evade, bypass, or disable?",EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What techniques do Installer Packages employ to avoid being detected by security systems and software?,How does Installer Packages manage to evade the detection of security systems and software?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What types of security measures are incapable of protecting against Firmware Corruption?,What security measures are unable to prevent Firmware Corruption?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What methods do attackers utilizing SMB/Windows Admin Shares employ to avoid being detected and sustain their presence?,What techniques does SMB/Windows Admin Shares use to evade detection and remain active?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
How do malicious actors exploit the existing Accessibility Features to bypass or evade security measures?,In what ways does Accessibility Features evade the defenses put in place?,EQUIVALENT,NOT_EQUIVALENT,NOT_EQUIVALENT,True
What security measures or protective controls could Clear Mailbox Data potentially compromise or disable?,What types of defenses or security controls can Clear Mailbox Data compromise or disable?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What platforms are typically targeted by malware that utilizes Impair Command History Logging?,What type of platform is often compromised by Impair Command History Logging malware?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What platforms typically deploy or execute the System Network Configuration Discovery?,On which platform is System Network Configuration Discovery typically deployed or executed?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What methods does Hide Infrastructure employ to bypass security defenses and remain concealed?,What strategies does Hide Infrastructure use to evade security defenses and remain undetected?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
Which defensive techniques are vulnerable to Identify Roles?,What defensive techniques can be compromised by Identify Roles?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the primary objective behind RDP Hijacking?,What is the purpose of RDP Hijacking?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What mechanisms does Gatekeeper Bypass employ to circumvent the detection of security software and systems?,How does Gatekeeper Bypass manage to evade the detection of security systems and software?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What platforms are System Script Proxy Execution primarily intended for?,What type of platform is System Script Proxy Execution typically designed for?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What types of security measures can Bidirectional Communication bypass or sidestep?,What defenses can Bidirectional Communication evade or circumvent?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What types of defenses are susceptible to exploitation through Conceal Multimedia Files?,What defense mechanisms are vulnerable to exploitation by Conceal Multimedia Files?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
Which defense mechanisms are susceptible to being compromised through the exploitation of Manipulate App Store Rankings or Ratings?,What defense mechanisms are vulnerable to exploitation by Manipulate App Store Rankings or Ratings?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What techniques does Junk Data utilize to bypass security measures?,What methods does Junk Data employ to evade security defenses?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
On which platforms does Application or System Exploitation occur or function?,Which platform does Application or System Exploitation target or operate on?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security protocols are typically vulnerable to being circumvented by Phishing tactics?,Identify the security protocols that Phishing can circumvent.,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
"What security measures can Direct Volume Access evade, bypass, or disable effectively?","What are the defenses that Direct Volume Access can successfully evade, bypass, or disable?",EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What tactics do Broadcast Receivers use to circumvent the defenses of security systems?,Can you describe the methods by which Broadcast Receivers evades the defenses of security systems?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What methods does the Abuse Elevation Control Mechanism utilize to avoid being detected by defense systems?,How does Abuse Elevation Control Mechanism manage to evade detection by defenses?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What are the other names by which the TeamTNT group is also known?,What are the alternate designations of the TeamTNT group?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security controls are vulnerable to the technique of OS Credential Dumping?,Which security controls are susceptible to OS Credential Dumping?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security protocols or measures are vulnerable to being compromised or undermined by Wordlist Scanning?,What security protocols or measures can Wordlist Scanning compromise or undermine?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security protocols are vulnerable to being circumvented or compromised by an Adversary-in-the-Middle?,What security protocols are bypassed or compromised by Adversary-in-the-Middle?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What does DNS/Passive DNS ultimately aim to identify or track?,What is the ultimate target of DNS/Passive DNS?,NOT_EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What techniques do Third-party Software employ to bypass the defenses of security systems?,Can you describe the methods by which Third-party Software evades the defenses of security systems?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What are the known aliases of the notorious group known as the Aquatic Panda?,What are the pseudonyms of the Aquatic Panda group?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What techniques does Asynchronous Procedure Call utilize to circumvent security systems?,What methods does Asynchronous Procedure Call employ to evade security defenses?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
How does Modify Parameter manage to bypass the existing security measures?,In what ways does Modify Parameter evade the defenses put in place?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What defense mechanisms can be bypassed by an Attack PC via USB Connection?,Which defense strategies can be evaded by Attack PC via USB Connection?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
Which defense mechanisms can be compromised by JavaScript exploits?,What defense mechanisms are vulnerable to exploitation by JavaScript?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What is the primary target platform for Subvert Trust Controls attacks?,Which platform serves as the primary focus for Subvert Trust Controls attacks?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the purpose of a Domain Account?,What is the intention behind Domain Account?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
On what operating systems or platforms is Modify System Image typically executed or deployed?,On which platform is Modify System Image typically deployed or executed?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What methods do attackers employing Premium SMS Toll Fraud use to bypass or evade existing security measures?,What defenses can Premium SMS Toll Fraud evade or circumvent?,EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,False
On which systems does DLL Search Order Hijacking typically occur?,Which platform does DLL Search Order Hijacking target or operate on?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security defense evasion techniques are used by an Internet Accessible Device?,What methods does Internet Accessible Device employ to evade security defenses?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What is Firmware primarily intended for use on?,What type of platform is Firmware typically designed for?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the last reported time frame for the operation known as Operation Wocao?,What was the last known activity time for Operation Wocao?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
Which security features are vulnerable to the exploits of a Malicious File?,What security features are bypassed by Malicious File?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What platforms are frequently targeted by malware that leverages the Cloud Instance Metadata API?,What type of platform is often compromised by Cloud Instance Metadata API malware?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What is the fundamental purpose of Automated Collection?,What is the primary objective of a Automated Collection?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the primary focus area of Peirates concentrated on?,What platform does Peirates have its core focus on?,EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,True
What platforms do Regsvcs/Regasm typically run on?,On which platform is Regsvcs/Regasm typically deployed or executed?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the primary purpose of Data Staged?,What is the main objective of Data Staged?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What security controls or defenses may be compromised or disabled by Re-opened Applications?,What types of defenses or security controls can Re-opened Applications compromise or disable?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What types of security controls are ineffective against Sudo?,What security measures are unable to prevent Sudo?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What platform is typically targeted by malware that utilizes the Exploit TEE Vulnerability?,What type of platform is often compromised by Exploit TEE Vulnerability malware?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What primary purpose do Code Signing Certificates serve on a given platform?,For which platform is Code Signing Certificates primarily intended?,NOT_EQUIVALENT,NOT_EQUIVALENT,NOT_EQUIVALENT,False
When did the 2016 Ukraine Electric Power Attack take place?,At what point in time did 2016 Ukraine Electric Power Attack last occur?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What security measures can Rename System Utilities potentially evade or bypass?,What are the security controls or measures that Rename System Utilities can bypass or evade?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What system does the Mythic software support?,What system does Mythic cater to?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the primary objective associated with Uncommonly Used Port?,What is the primary goal of Uncommonly Used Port?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What types of security measures are vulnerable to exploitation by a Botnet?,What defensive techniques can be compromised by Botnet?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What defensive techniques are vulnerable to a Data Historian Compromise?,What defensive techniques can be compromised by Data Historian Compromise?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What security measures can Malware evade or bypass through?,What are the security controls or measures that Malware can bypass or evade?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What methods enable SSH Hijacking to successfully breach or penetrate security systems and defenses?,How does SSH Hijacking manage to breach or penetrate security systems and defenses?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the purpose of an External Remote Services attack?,What is the objective of an External Remote Services attack?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What security measures do Threat Intel Vendors typically employ evasion techniques against?,What techniques does Threat Intel Vendors use to bypass security measures?,EQUIVALENT,NOT_EQUIVALENT,NOT_EQUIVALENT,False
On what typical platform does Component Object Model Hijacking occur?,On which platform is Component Object Model Hijacking typically deployed or executed?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security vulnerabilities or weaknesses does Subvert Trust Controls target or take advantage of?,What are the security weaknesses or vulnerabilities that Subvert Trust Controls exploits or leverages?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What platform is Confluence specifically intended to operate on?,On which platform is Confluence designed to function effectively?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is Rogue Wi-Fi Access Points primarily designed for use on?,What platform is Rogue Wi-Fi Access Points specifically tailored for?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What platform is primarily linked to the SILENTTRINITY malware?,What is the main platform associated with SILENTTRINITY?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What type of platform is targeted or exploited by the Denial of View attack?,Which platform does Denial of View target or operate on?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What vulnerabilities or weaknesses does External Defacement typically target or take advantage of?,What are the security weaknesses or vulnerabilities that External Defacement exploits or leverages?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What defense mechanisms are vulnerable to Malicious Shell Modification?,Which defense strategies can be evaded by Malicious Shell Modification?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
"What security systems or defenses can Permission Groups Discovery potentially compromise, disable, or circumvent?","What types of defenses or security systems can Permission Groups Discovery compromise, disable, or bypass?",EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What platforms does the Standard Cryptographic Protocol specifically target or operate on?,Which platform does Standard Cryptographic Protocol target or operate on?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
Which countermeasures fail to be effective against the Authentication Package?,What countermeasures are ineffective against Authentication Package?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What security measures can potentially be compromised or disabled by assigning the Add Office 365 Global Administrator Role?,What types of defenses or security controls can Add Office 365 Global Administrator Role compromise or disable?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security features can be circumvented by Taint Shared Content?,What security features are bypassed by Taint Shared Content?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security controls are vulnerable to the Masquerade Task or Service?,Which security controls are susceptible to Masquerade Task or Service?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security controls are vulnerable to exploitation through the Windows Command Shell?,Which security controls are susceptible to Windows Command Shell?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
Which security measures are susceptible to exploitation by Credentials from Password Stores?,What defense mechanisms are vulnerable to exploitation by Credentials from Password Stores?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What methods does Environmental Keying utilize to avoid being detected and sustain its malicious presence?,What techniques does Environmental Keying use to evade detection and remain active?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What other names are associated with the TA2541 group?,What are the alternate designations of the TA2541 group?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
How do attackers typically employ Downgrade to Insecure Protocols to bypass the defenses of security systems?,Can you describe the methods by which Downgrade to Insecure Protocols evades the defenses of security systems?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the primary goal of exploiting Access Calendar Entries?,What is the objective of an Access Calendar Entries attack?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the core objective of Symmetric Cryptography?,What is the primary goal of Symmetric Cryptography?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
