Question,Section,path,n_gold,known_gold_bug,n_sparql,match
"What are the typical objectives or goals of Avenger, LoFiSe, and Tomiris attacks, in terms of targeted assets?",entity_in_path,is_malware_type<SEP>select Avenger LoFiSe Tomiris<SEP>uses_attack_pattern<SEP>targets<SEP>exec_common x_mitre_asset,4,False,4,True
Can you tell me about the techniques used to detect TEXTMATE?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,8,False,8,True
What platform is Out of Band Data specifically tailored for?,intra_relationship,x_mitre_platforms,1,False,1,True
Which security protocols are often bypassed by HOPLIGHT exploits?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,8,False,8,True
What kind of behavior is characteristic of the NetTraveler?,single_hop_not_filter,uses_attack_pattern,3,False,3,True
What strategy should be implemented to prevent the spread of RGDoor?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,21,False,21,True
What operating system does QuasarRAT aim to support?,intra_relationship,x_mitre_platforms,1,False,1,True
What is the malware employed by the Operation Honeybee?,single_hop_not_filter,uses_malware,1,False,1,True
What are the domains where PowerSploit is most commonly found?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,7,False,7,True
"What asset is at the center of the attack pattern that utilizes PowerShell scripts, a distinguishing feature of the Proton?",multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,12,False,12,True
What crucial tactic is employed to counter the threat posed by JSS Loader?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,18,False,18,True
What type of platform is often compromised by Boot or Logon Autostart Execution malware?,intra_relationship,x_mitre_platforms,1,False,1,True
What is known about the use of Bisonal in the Ke3chang campaign? Describe its typical behaviors.,other_double_entity,is_intrusion_set_type<SEP>select Ke3chang<SEP>is_responsible<SEP>uses_malware<SEP>select Bisonal<SEP>uses_attack_pattern,41,False,41,True
Which defense CARROTBALL can be outmaneuvered by?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,2,False,2,True
Which platform serves as the primary focus for Third-party Software attacks?,intra_relationship,x_mitre_platforms,1,False,1,True
What crucial tactic is employed to counter the threat posed by GeminiDuke?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,17,False,17,True
How can one determine if a computer has been infected with COATHANGER?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,28,False,28,True
Which platforms are commonly targeted by worm attacks?,multi_hop_relationship,is_malware_type<SEP>filter worm<SEP>uses_attack_pattern<SEP>x_mitre_platforms,10,False,10,True
What are the various objectives of IceApple and StrongPity?,common_and_differences,is_malware_type<SEP>select IceApple StrongPity<SEP>uses_attack_pattern<SEP>targets<SEP>exec_difference x_mitre_asset,4,False,4,True
How does the Gamaredon Group manifest its presence?,single_hop_not_filter,uses_attack_pattern,50,False,50,True
How does the macOS.OSAMiner function?,single_hop_not_filter,uses_attack_pattern,10,False,10,True
What crucial tactic is employed to counter the threat posed by BADHATCH?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,56,False,56,True
What are the primary actions associated with the WIRTE?,single_hop_not_filter,uses_attack_pattern,13,False,13,True
How do SocGholish attacks manage to evade detection by intrusion detection systems and other security software?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,3,False,3,True
What type of platform is Domain Generation Algorithms typically designed for?,intra_relationship,x_mitre_platforms,2,False,2,True
How does the Flame function?,single_hop_not_filter,uses_attack_pattern,15,False,15,True
What security measures do INSOMNIA techniques manage to evade?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,3,False,3,True
What operating systems are vulnerable to worm malware?,multi_hop_relationship,is_malware_type<SEP>filter worm<SEP>uses_attack_pattern<SEP>x_mitre_platforms,10,False,10,True
On which platform is Cloud Infrastructure Discovery typically deployed or executed?,intra_relationship,x_mitre_platforms,2,False,2,True
What is the primary platform associated with Tor?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,2,False,2,True
What are the known aliases of the HAFNIUM group?,intra_relationship,aliases,1,False,1,True
How do Downdelph tactics avoid detection by security systems?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,2,False,2,True
"What asset is at the center of the attack pattern that utilizes PowerShell scripts, a distinguishing feature of the TinyTurla?",multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,6,False,6,True
How do you detect the presence of XLoader for Android in a system?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,21,False,21,True
What platforms are commonly associated with the Stolen Pencil attacks and their techniques?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,6,False,6,True
In what way does the iKitten operate?,single_hop_not_filter,uses_attack_pattern,10,False,10,True
What is the primary behavior of the Milan?,single_hop_not_filter,uses_attack_pattern,21,False,21,True
What platform is RemoteUtilities designed to run on?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,5,False,5,True
Which platform serves as the primary focus for Communication Through Removable Media attacks?,intra_relationship,x_mitre_platforms,1,False,1,True
What type of platform is Input Prompt typically designed for?,intra_relationship,x_mitre_platforms,2,False,2,True
How can one determine if a computer has been infected with PS1?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,18,False,18,True
What is the name of the backdoor or ransomware used by the EXOTIC LILY?,single_hop_relationship_filter,uses_malware<SEP>filter ransomware or backdoor,2,False,2,True
In what ways do Pysa techniques evade detection by firewalls and other security tools?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,4,False,4,True
"What asset is typically compromised by the attack pattern involving PowerShell scripts, which is used by the QuietSieve?",multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,6,False,6,True
What kind of platform is Process Argument Spoofing most commonly associated with?,intra_relationship,x_mitre_platforms,1,False,1,True
What are the primary targets of malware attacks on ICS devices used by the TA505 group?,multihop_one_entity_filter,uses_malware<SEP>filter ICS<SEP>uses_attack_pattern<SEP>targets,14,False,14,True
What is the impact of a modular backdoor's behavior on the overall success of a Tropic Trooper campaign?,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>filter modular and backdoor<SEP>uses_attack_pattern<SEP>x_mitre_impact_type,0,True,0,True
How do you detect the presence of zwShell in a system?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,33,False,33,True
What are the necessary countermeasures to take against Leviathan?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,69,False,69,True
How does Mshta manage to evade the detection of security systems and software?,intra_relationship,x_mitre_defense_bypassed,2,False,2,True
What virus is the C0017 known to use?,single_hop_not_filter,uses_malware,3,False,3,True
"What asset is at the center of the attack pattern that utilizes PowerShell scripts, a distinguishing feature of the Rifdoor?",multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,2,False,2,True
Identify the security protocols that Proc Memory can circumvent.,intra_relationship,x_mitre_defense_bypassed,1,False,1,True
In what platform was the Operation Honeybee primarily executed?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,8,False,8,True
For what type of platform is Lockscreen Bypass considered a significant threat?,intra_relationship,x_mitre_platforms,1,False,1,True
Which defensive strategies are commonly bypassed by Conti attacks?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,4,False,4,True
What types of safeguards are typically outsmarted by Winnti tactics?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,8,False,8,True
Which defensive strategies are commonly bypassed by Cryptoistic attacks?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,1,False,1,True
What platforms do the techniques employed by the BlackTech typically target?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,9,False,9,True
What crucial tactic is employed to counter the threat posed by PowerLess?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,19,False,19,True
How does the MarkiRAT behave?,single_hop_not_filter,uses_attack_pattern,22,False,22,True
For what type of platform is Cloud Storage Object Discovery considered a significant threat?,intra_relationship,x_mitre_platforms,1,False,1,True
Can you provide the date of the last FunnyDream incident?,intra_relationship,last_seen,1,False,1,True
Which defensive strategies are commonly bypassed by Ramsay attacks?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,10,False,10,True
What countermeasure can be taken to minimize the effects of TURNEDUP on a computer network?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,21,False,21,True
What methods does Process Doppelgänging employ to evade security defenses?,intra_relationship,x_mitre_defense_bypassed,2,False,2,True
What security measures do metaMain techniques manage to evade?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,6,False,6,True
"What asset is the primary target of the attack pattern that employs PowerShell scripts, a key component of the InvisiMole?",multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,7,False,7,True
For which platform is Add Office 365 Global Administrator Role primarily intended?,intra_relationship,x_mitre_platforms,1,False,1,True
What types of safeguards are typically outsmarted by BlackCat tactics?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,3,False,3,True
What is the intention behind System Network Configuration Discovery?,intra_relationship,x_mitre_tactic_type,1,False,1,True
Which platform does Sudo target or operate on?,intra_relationship,x_mitre_platforms,1,False,1,True
What platforms are commonly affected by backdoor infections?,multi_hop_relationship,is_malware_type<SEP>filter backdoor<SEP>uses_attack_pattern<SEP>x_mitre_platforms,14,False,14,True
Can you explain how Create Process with Token evades detection by security systems?,intra_relationship,x_mitre_defense_bypassed,1,False,1,True
How do Octopus attacks manage to evade detection by intrusion detection systems and other security software?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,2,False,2,True
In which domains does Brute Ratel C4 pose a threat?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,9,False,9,True
How does SIP and Trust Provider Hijacking successfully evade detection by antivirus software?,intra_relationship,x_mitre_defense_bypassed,3,False,3,True
Which platform serves as the primary focus for Execution through API attacks?,intra_relationship,x_mitre_platforms,3,False,3,True
What crucial tactic is employed to counter the threat posed by BRATA?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,35,False,35,True
Which key approach helps to neutralize the impact of SYNful Knock on a system?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,9,False,9,True
How do Taidoor attacks manage to evade detection by intrusion detection systems and other security software?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,5,False,5,True
What defensive strategy is most effective in mitigating the risks associated with ZLib?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,36,False,36,True
For what type of platform is Software Deployment Tools considered a significant threat?,intra_relationship,x_mitre_platforms,1,False,1,True
When did Triton Safety Instrumented System Attack cease its operations?,intra_relationship,last_seen,1,False,1,True
Which platform does Reduce Key Space target or operate on?,intra_relationship,x_mitre_platforms,1,False,1,True
What strategy should be implemented to prevent the spread of InvisiMole?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,101,False,101,True
What platform does Ruler have its core focus on?,intra_relationship,x_mitre_platforms,1,False,1,True
How does Redundant Access manage to evade detection by defenses?,intra_relationship,x_mitre_defense_bypassed,2,False,2,True
What methods can be used to identify HotCroissant?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,31,False,31,True
What operating system does pwdump aim to support?,intra_relationship,x_mitre_platforms,1,False,1,True
What characteristics does the Kobalos exhibit?,single_hop_not_filter,uses_attack_pattern,15,False,15,True
"Can you identify the malware among FakeSpy, AppleJeus, and NGLite that relies on SQL Injection?",entity_in_path,is_malware_type<SEP>filter SQL<SEP>select FakeSpy AppleJeus NGLite,3,False,3,True
What is the process of detecting and eliminating USBStealer from a system?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,32,False,32,True
What defensive strategy is most effective in mitigating the risks associated with CosmicDuke?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,49,False,49,True
On which platform is Mshta designed to function effectively?,intra_relationship,x_mitre_platforms,1,False,1,True
How does the Arp function?,single_hop_not_filter,uses_attack_pattern,2,False,2,True
What characteristics does the Mandrake exhibit?,single_hop_not_filter,uses_attack_pattern,36,False,36,True
In what year or period did C0027 make its last appearance?,intra_relationship,last_seen,1,False,1,True
What security measures are unable to prevent Plist File Modification?,intra_relationship,x_mitre_defense_bypassed,1,False,1,True
What systems are typically targeted by malware used to infiltrate ICS devices operated by the APT1 group?,multihop_one_entity_filter,uses_malware<SEP>filter ICS<SEP>uses_attack_pattern<SEP>targets,7,False,7,True
"What characteristics define Conti, and does it contain a backdoor that enables the use of Network Device CLI?",double_entity,is_malware_type<SEP>select Conti<SEP>filter backdoor<SEP>uses_attack_pattern<SEP>select Network Device CLI,1,False,1,True
How does the KOPILUWAK function?,single_hop_not_filter,uses_attack_pattern,13,False,13,True
What is the ultimate target of Archive Collected Data?,intra_relationship,x_mitre_tactic_type,1,False,1,True
Can you tell me about the techniques used to detect Ginp?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,18,False,18,True
What type of technique is characteristic of the Putter Panda's activities?,single_hop_not_filter,uses_attack_pattern,7,False,7,True
What proactive measure can be taken to protect against Lucifer attacks?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,47,False,47,True
In what way does the DarkWatchman operate?,single_hop_not_filter,uses_attack_pattern,35,False,35,True
What are the necessary precautions to take to prevent and mitigate the methods employed by Akira?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,44,False,44,True
What does Hooking aim to achieve?,intra_relationship,x_mitre_tactic_type,1,False,1,True
How can Briba be identified and removed from a network?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,16,False,16,True
What signs or symptoms indicate the presence of RCSAndroid in a computer?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,13,False,13,True
What kind of behavior is characteristic of the ADVSTORESHELL?,single_hop_not_filter,uses_attack_pattern,32,False,32,True
"What types of defenses or security systems can Downgrade Attack compromise, disable, or bypass?",intra_relationship,x_mitre_defense_bypassed,1,False,1,True
Which security protocols are often bypassed by StrifeWater exploits?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,3,False,3,True
Which defensive strategies are commonly bypassed by Rifdoor attacks?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,4,False,4,True
What method can effectively prevent and mitigate the damage caused by AppleJeus?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,33,False,33,True
What does an attacker seek to accomplish with Malicious Media Content?,intra_relationship,x_mitre_tactic_type,1,False,1,True
Which defensive strategies are commonly bypassed by BACKSPACE attacks?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,5,False,5,True
In what ways do Vasport techniques evade detection by firewalls and other security tools?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,1,False,1,True
How does a modular backdoor's behavior affect the dynamics of a Orangeworm campaign?,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>filter modular and backdoor<SEP>uses_attack_pattern<SEP>x_mitre_impact_type,0,True,0,True
Which defense ROADTools can be circumvented?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,1,False,1,True
What are the security incidents that use the AttachUserPolicy API?,multihop_no_entity,is_attack_pattern_type<SEP>filter AttachUserPolicy,1,False,1,True
Which security protocols are often bypassed by Wingbird exploits?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,4,False,4,True
How does the Zebrocy behave?,single_hop_not_filter,uses_attack_pattern,40,False,40,True
What kind of behavior is characteristic of the BRATA?,single_hop_not_filter,uses_attack_pattern,27,False,27,True
What is the primary platform associated with ROADTools?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,8,False,8,True
Which platforms are most vulnerable to the attacks carried out by the Cobalt Group?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,8,False,8,True
Does the Operation Honeybee involve the deployment of Remsec?,other_double_entity,is_campaign_type<SEP>select Operation Honeybee<SEP>uses_malware<SEP>select Remsec,1,False,1,True
What operating systems or platforms are commonly targeted by the spyware techniques of SilverTerrier?,multihop_one_entity_filter,uses_malware<SEP>filter spyware<SEP>uses_attack_pattern<SEP>x_mitre_platforms,8,False,8,True
What strategies does InstallUtil use to evade security defenses and remain undetected?,intra_relationship,x_mitre_defense_bypassed,2,False,2,True
How can ANDROIDOS_ANSERVER.A be identified and removed from a network?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,10,False,10,True
What backdoor or ransomware is typically associated with the C0010?,single_hop_relationship_filter,uses_malware<SEP>filter ransomware or backdoor,1,False,1,True
Which platform serves as the primary focus for Trusted Relationship attacks?,intra_relationship,x_mitre_platforms,2,False,2,True
What actions does the SodaMaster take?,single_hop_not_filter,uses_attack_pattern,11,False,11,True
Which key approach helps to neutralize the impact of FLASHFLOOD on a system?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,11,False,11,True
What signs or symptoms indicate the presence of SombRAT in a computer?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,36,False,36,True
What types of systems are typically targeted by malware designed to compromise ICS devices used by Scarlet Mimic?,multihop_one_entity_filter,uses_malware<SEP>filter ICS<SEP>uses_attack_pattern<SEP>targets,13,False,13,True
What defense CSPY Downloader can be sidestepped by?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,6,False,6,True
In what environment does gsecdump become active?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,1,False,1,True
What actions does the Comnie take?,single_hop_not_filter,uses_attack_pattern,25,False,25,True
How do techniques used by the Dragonfly 2.0 outsmart various security defenses?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,11,False,11,True
Can you describe the methods by which Match Legitimate Name or Location evades the defenses of security systems?,intra_relationship,x_mitre_defense_bypassed,2,False,2,True
Which types of defenses are typically circumvented by LOWBALL methods?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,1,False,1,True
Identify the security protocols that Portable Executable Injection can circumvent.,intra_relationship,x_mitre_defense_bypassed,1,False,1,True
When did Operation Dream Job conclude its activities?,intra_relationship,last_seen,1,False,1,True
Which platform does Data from Information Repositories target or operate on?,intra_relationship,x_mitre_platforms,3,False,3,True
Which key approach helps to neutralize the impact of EvilGrab on a system?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,16,False,16,True
Can you explain the distinction between MURKYTOP and Red Alert 2.0 in the context of DDoS attacks?,entity_in_path,is_malware_type<SEP>filter DDoS<SEP>select MURKYTOP Red Alert 2.0,2,False,2,True
What methods can be used to identify DarkGate?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,57,False,57,True
What crucial tactic is employed to counter the threat posed by OSX_OCEANLOTUS.D?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,43,False,43,True
What is the main objective of Rogue Cellular Base Station?,intra_relationship,x_mitre_tactic_type,1,False,1,True
What signs or symptoms indicate the presence of LoFiSe in a computer?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,11,False,11,True
What are the types of malware that a strategy that incorporates encryption is intended to mitigate or eliminate?,multihop_no_entity,is_course_of_action_type<SEP>filter encryption<SEP>mitigates<SEP>used_by_malware,330,False,330,True
What was the date of the last occurrence of Maroochy Water Breach?,intra_relationship,last_seen,1,False,1,True
What crucial step can be taken to prevent the installation of Get2 on a system?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,16,False,16,True
How does the BOOSTWRITE function?,single_hop_not_filter,uses_attack_pattern,6,False,6,True
What kind of behavior is characteristic of the OnionDuke?,single_hop_not_filter,uses_attack_pattern,7,False,7,True
What platforms are vulnerable to spyware attacks?,multi_hop_relationship,is_malware_type<SEP>filter spyware<SEP>uses_attack_pattern<SEP>x_mitre_platforms,11,False,11,True
How does a modular backdoor's behavior affect the dynamics of a Indrik Spider campaign?,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>filter modular and backdoor<SEP>uses_attack_pattern<SEP>x_mitre_impact_type,0,True,0,True
Where does Ruler typically exert its influence?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,1,False,1,True
What are the telltale signs of the Windigo's activity?,single_hop_not_filter,uses_attack_pattern,7,False,7,True
How can Derusbi be identified and removed from a network?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,26,False,26,True
What are the steps involved in identifying and removing Bisonal?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,36,False,36,True
What tools or software can be used to detect and remove Akira?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,32,False,32,True
What is the typical behavior associated with the Blue Mockingbird?,single_hop_not_filter,uses_attack_pattern,23,False,23,True
Which platform serves as the primary focus for Alternate Network Mediums attacks?,intra_relationship,x_mitre_platforms,1,False,1,True
In what way does the CoinTicker operate?,single_hop_not_filter,uses_attack_pattern,12,False,12,True
What is the primary backdoor or ransomware used by the Evilnum?,single_hop_relationship_filter,uses_malware<SEP>filter ransomware or backdoor,2,False,2,True
What signs or symptoms indicate the presence of Power Loader in a computer?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,1,False,1,True
What operating system does Pupy aim to support?,intra_relationship,x_mitre_platforms,1,False,1,True
What type of platform is often compromised by Email Hiding Rules malware?,intra_relationship,x_mitre_platforms,1,False,1,True
What are the primary domains where ROADTools is used?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,8,False,8,True
"What type of asset is the Woody RAT typically designed to compromise, often employing PowerShell scripts in its attack?",multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,6,False,6,True
What are the implications of a modular backdoor's actions on the overall strategy of a TA505 campaign,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>filter modular and backdoor<SEP>uses_attack_pattern<SEP>x_mitre_impact_type,0,True,0,True
Techniques that use Office are known as what?,multihop_no_entity,is_attack_pattern_type<SEP>filter Office,53,False,53,True
What strategies can be employed to detect the malicious activities of the malware exploited by the group behind C0032?,multi_hop_relationship,attributed_to<SEP>uses_malware<SEP>uses_attack_pattern<SEP>detected_by,41,False,41,True
What method does the Poseidon Group employ?,single_hop_not_filter,uses_attack_pattern,10,False,10,True
Can you describe the methods by which System Binary Proxy Execution evades the defenses of security systems?,intra_relationship,x_mitre_defense_bypassed,1,False,1,True
What are the security weaknesses or vulnerabilities that System Checks exploits or leverages?,intra_relationship,x_mitre_defense_bypassed,1,False,1,True
What actions does the Ursnif take?,single_hop_not_filter,uses_attack_pattern,46,False,46,True
What options are available to prevent and mitigate the methods used by Whitefly?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,32,False,32,True
What types of safeguards are typically outsmarted by Cuba tactics?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,8,False,8,True
What is the intention behind Manipulate App Store Rankings or Ratings?,intra_relationship,x_mitre_tactic_type,1,False,1,True
"Does the Bankshot contain a backdoor component, and if it does, how does it execute the Firmware?",double_entity,is_malware_type<SEP>select Bankshot<SEP>filter backdoor<SEP>uses_attack_pattern<SEP>select Firmware,1,False,1,True
What characteristics does the DRATzarus exhibit?,single_hop_not_filter,uses_attack_pattern,13,False,13,True
What platform is Data from Local System specifically tailored for?,intra_relationship,x_mitre_platforms,4,False,4,True
Which defensive strategies are commonly bypassed by UBoatRAT attacks?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,7,False,7,True
What is the identity of the backdoor or ransomware used by the CostaRicto?,single_hop_relationship_filter,uses_malware<SEP>filter ransomware or backdoor,3,False,3,True
What are the necessary precautions to take to prevent and mitigate the methods employed by BRONZE BUTLER?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,77,False,77,True
How does the DownPaper behave?,single_hop_not_filter,uses_attack_pattern,9,False,9,True
"What are the common vulnerabilities or weaknesses exploited by Comnie, httpclient, and SodaMaster?",entity_in_path,is_malware_type<SEP>select Comnie httpclient SodaMaster<SEP>uses_attack_pattern<SEP>targets<SEP>exec_common x_mitre_asset,11,False,11,True
What types of systems are commonly targeted by malware used to compromise the ICS devices of Indrik Spider?,multihop_one_entity_filter,uses_malware<SEP>filter ICS<SEP>uses_attack_pattern<SEP>targets,14,False,14,True
What security features do Action RAT methods frequently undermine?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,3,False,3,True
In what domains does BITSAdmin carry out its malicious activities?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,5,False,5,True
What are the primary characteristics of the Metamorfo's behavior?,single_hop_not_filter,uses_attack_pattern,47,False,47,True
What characteristics does the BS2005 exhibit?,single_hop_not_filter,uses_attack_pattern,2,False,2,True
What are the common methods used to detect and prevent SUPERNOVA infections?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,18,False,18,True
The FIN4 utilizes which tactic?,single_hop_not_filter,uses_attack_pattern,19,False,19,True
Which operating systems are commonly targeted by the worms utilized by Sandworm Team?,multihop_one_entity_filter,uses_malware<SEP>filter worm<SEP>uses_attack_pattern<SEP>x_mitre_platforms,10,False,10,True
What kinds of protection do GLASSTOKEN techniques usually sidestep?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,1,False,1,True
What is the typical behavior associated with the APT1?,single_hop_not_filter,uses_attack_pattern,29,False,29,True
What type of platform is often compromised by Thread Execution Hijacking malware?,intra_relationship,x_mitre_platforms,1,False,1,True
On which platform is Fallback Channels typically deployed or executed?,intra_relationship,x_mitre_platforms,1,False,1,True
What type of malware does a strategy that employs encryption aim to counteract?,multihop_no_entity,is_course_of_action_type<SEP>filter encryption<SEP>mitigates<SEP>used_by_malware,330,False,330,True
What countermeasure can be taken to minimize the effects of Mandrake on a computer network?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,36,False,36,True
What platform is MailSniper designed to run on?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,3,False,3,True
On which platform is Exfiltration Over Symmetric Encrypted Non-C2 Protocol typically deployed or executed?,intra_relationship,x_mitre_platforms,1,False,1,True
What is the malware of choice for the Operation Sharpshooter?,single_hop_not_filter,uses_malware,1,False,1,True
Which asset is the target of the attack pattern that employs PowerShell scripts used by the REvil?,multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,7,False,7,True
"What type of malware is Sykipot, and does it facilitate unauthorized access through a backdoor? Does it employ the Log Enumeration tactic?",double_entity,is_malware_type<SEP>select Sykipot<SEP>filter backdoor<SEP>uses_attack_pattern<SEP>select Log Enumeration,1,False,1,True
What method can effectively prevent and mitigate the damage caused by SilkBean?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,26,False,26,True
What platforms do the Winnti Group techniques aim to compromise or disrupt?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,7,False,7,True
Which operating system does Rclone work on?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,2,False,2,True
What are the various names used to refer to the MONSOON group?,intra_relationship,aliases,1,False,1,True
What are the implications of a modular backdoor's actions on the overall strategy of a WIRTE campaign,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>filter modular and backdoor<SEP>uses_attack_pattern<SEP>x_mitre_impact_type,0,True,0,True
Which platform is the target audience for CSPY Downloader?,intra_relationship,x_mitre_platforms,1,False,1,True
What approach does the Magic Hound typically use to carry out its operations?,single_hop_not_filter,uses_attack_pattern,87,False,87,True
"Where does ifconfig usually operate, and what domains are involved?",single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,2,False,2,True
For what type of platform is Cached Domain Credentials considered a significant threat?,intra_relationship,x_mitre_platforms,1,False,1,True
What are the typical behaviors associated with the RTM?,single_hop_not_filter,uses_attack_pattern,45,False,45,True
How can the behaviors of the malware used by the group behind C0027 be detected and analyzed?,multi_hop_relationship,attributed_to<SEP>uses_malware<SEP>uses_attack_pattern<SEP>detected_by,48,False,48,True
