Question,Path,Section,FinalPath,TemplateKey,SkeletonKey
What type of attack pattern is typically associated with the asset compromised by the Seasalt?,<PATH>uses_attack_pattern<SEP>targets</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_attack_pattern<SEP>targets
Can you give me a list of NETWIRE-related campaigns that have been detected in recent months?,<PATH>used_by_campaign</PATH>,multi_hop_relationship,used_by_campaign,multi_hop_relationship||used_by_campaign,multi_hop_relationship||used_by_campaign
Can you describe the origins of the data used in the techniques that are mitigated by the Minimize Wireless Signal Propagation?,<PATH>mitigates<SEP>x_mitre_data_sources</PATH>,multi_hop_relationship,mitigates<SEP>x_mitre_data_sources,multi_hop_relationship||mitigates<SEP>x_mitre_data_sources,multi_hop_relationship||mitigates<SEP>x_mitre_data_sources
What areas of remediation are required for the methods used by Helminth?,<PATH>uses_attack_pattern<SEP>detected_by<SEP>x_mitre_domains</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>detected_by<SEP>x_mitre_domains,multi_hop_relationship||uses_attack_pattern<SEP>detected_by<SEP>x_mitre_domains,multi_hop_relationship||uses_attack_pattern<SEP>detected_by<SEP>x_mitre_domains
Does Scheduled Task involve a worm?,<PATH>used_by_malware<SEP>description<SEP>filter worm</PATH>,multi_hop_relationship,used_by_malware<SEP>description<SEP>filter worm,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter worm,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter
Does Search Closed Sources involve a worm?,<PATH>used_by_malware<SEP>description<SEP>filter worm</PATH>,multi_hop_relationship,used_by_malware<SEP>description<SEP>filter worm,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter worm,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter
Which asset is typically targeted by the attack pattern employed by the PLATINUM?,<PATH>uses_attack_pattern<SEP>targets</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_attack_pattern<SEP>targets
What are the primary assets that Doki is designed to compromise?,<PATH>uses_attack_pattern<SEP>targets</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_attack_pattern<SEP>targets
What remediation steps are required to counteract the tactics used by Cardinal RAT?,<PATH>uses_attack_pattern<SEP>detected_by</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by
Is Disable or Modify Tools a tactic employed by worms?,<PATH>used_by_malware<SEP>description<SEP>filter worm</PATH>,multi_hop_relationship,used_by_malware<SEP>description<SEP>filter worm,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter worm,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter
Identify the projects linked to Gustuff.,<PATH>used_by_campaign</PATH>,multi_hop_relationship,used_by_campaign,multi_hop_relationship||used_by_campaign,multi_hop_relationship||used_by_campaign
Does the worm employ Download New Code at Runtime?,<PATH>used_by_malware<SEP>description<SEP>filter worm</PATH>,multi_hop_relationship,used_by_malware<SEP>description<SEP>filter worm,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter worm,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter
What measures should be taken to rectify the damage caused by Catchamas?,<PATH>uses_attack_pattern<SEP>detected_by</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by
What settings do we need to modify to detect the tactics and techniques used by CyberAv3ngers?,<PATH>uses_attack_pattern<SEP>detected_by</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by
What types of malware tools have been employed by the APT-C-36 group in their attacks on BLU Products?,<PATH>is_responsible<SEP>uses_malware<SEP>filter BLU<SEP>uses_tool</PATH>,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>filter BLU<SEP>uses_tool,multi_hop_relationship||is_responsible<SEP>uses_malware<SEP>filter BLU<SEP>uses_tool,multi_hop_relationship||is_responsible<SEP>uses_malware<SEP>filter<SEP>uses_tool
What remedial actions are necessary to address the vulnerabilities exploited by SharkBot?,<PATH>uses_attack_pattern<SEP>detected_by</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by
How do researchers typically identify the data sources that influence the behavior of KillDisk?,<PATH>uses_attack_pattern<SEP>x_mitre_data_sources</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>x_mitre_data_sources,multi_hop_relationship||uses_attack_pattern<SEP>x_mitre_data_sources,multi_hop_relationship||uses_attack_pattern<SEP>x_mitre_data_sources
How can one neutralize the threats posed by Egregor?,<PATH>uses_attack_pattern<SEP>detected_by</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by
Does Identify Roles play a role in the backdoor's ability to compromise a system?,<PATH>used_by_malware<SEP>description<SEP>filter backdoor</PATH>,multi_hop_relationship,used_by_malware<SEP>description<SEP>filter backdoor,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter backdoor,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter
What is the primary function of OopsIE in terms of its backdoor capabilities?,<PATH>description<SEP>filter backdoor</PATH>,multi_hop_relationship,description<SEP>filter backdoor,multi_hop_relationship||description<SEP>filter backdoor,multi_hop_relationship||description<SEP>filter
Identify the projects linked to Mivast.,<PATH>used_by_campaign</PATH>,multi_hop_relationship,used_by_campaign,multi_hop_relationship||used_by_campaign,multi_hop_relationship||used_by_campaign
Can you describe the outcomes of the malware attacks employed in the ZIRCONIUM campaign?,<PATH>is_responsible<SEP>uses_malware<SEP>uses_attack_pattern<SEP>x_mitre_impact_type</PATH>,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>uses_attack_pattern<SEP>x_mitre_impact_type,multi_hop_relationship||is_responsible<SEP>uses_malware<SEP>uses_attack_pattern<SEP>x_mitre_impact_type,multi_hop_relationship||is_responsible<SEP>uses_malware<SEP>uses_attack_pattern<SEP>x_mitre_impact_type
Does Utilize/Change Operating Mode play a role in the backdoor's ability to compromise a system?,<PATH>used_by_malware<SEP>description<SEP>filter backdoor</PATH>,multi_hop_relationship,used_by_malware<SEP>description<SEP>filter backdoor,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter backdoor,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter
Which defense mechanism is best suited to handle Obtain Device Cloud Backups?,<PATH>mitigated_by</PATH>,multi_hop_relationship,mitigated_by,multi_hop_relationship||mitigated_by,multi_hop_relationship||mitigated_by
What counter-attack measures can be implemented to neutralize the malware tools used in the BlackOasis operation?,<PATH>is_responsible<SEP>uses_malware<SEP>uses_tool<SEP>uses_attack_pattern<SEP>mitigated_by</PATH>,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>uses_tool<SEP>uses_attack_pattern<SEP>mitigated_by,multi_hop_relationship||is_responsible<SEP>uses_malware<SEP>uses_tool<SEP>uses_attack_pattern<SEP>mitigated_by,multi_hop_relationship||is_responsible<SEP>uses_malware<SEP>uses_tool<SEP>uses_attack_pattern<SEP>mitigated_by
Is it accurate to describe EventBot as a type of spyware?,<PATH>description<SEP>filter spyware</PATH>,multi_hop_relationship,description<SEP>filter spyware,multi_hop_relationship||description<SEP>filter spyware,multi_hop_relationship||description<SEP>filter
What type of cyber attack is Disabling Security Tools?,<PATH>description</PATH>,multi_hop_relationship,description,multi_hop_relationship||description,multi_hop_relationship||description
Can Multi-factor Authentication help reduce the risk of ransomware attacks?,<PATH>mitigates<SEP>used_by_malware<SEP>description<SEP>filter ransomware</PATH>,multi_hop_relationship,mitigates<SEP>used_by_malware<SEP>description<SEP>filter ransomware,multi_hop_relationship||mitigates<SEP>used_by_malware<SEP>description<SEP>filter ransomware,multi_hop_relationship||mitigates<SEP>used_by_malware<SEP>description<SEP>filter
From which data sources do the techniques used by tools utilized by malware linked to DarkVishnya originate?,<PATH>is_responsible<SEP>uses_malware<SEP>uses_tool<SEP>uses_attack_pattern<SEP>x_mitre_data_sources</PATH>,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>uses_tool<SEP>uses_attack_pattern<SEP>x_mitre_data_sources,multi_hop_relationship||is_responsible<SEP>uses_malware<SEP>uses_tool<SEP>uses_attack_pattern<SEP>x_mitre_data_sources,multi_hop_relationship||is_responsible<SEP>uses_malware<SEP>uses_tool<SEP>uses_attack_pattern<SEP>x_mitre_data_sources
What is the most effective way to prevent Dead Drop Resolver?,<PATH>mitigated_by</PATH>,multi_hop_relationship,mitigated_by,multi_hop_relationship||mitigated_by,multi_hop_relationship||mitigated_by
Does the classification of Pegasus include it as a worm?,<PATH>description<SEP>filter worm</PATH>,multi_hop_relationship,description<SEP>filter worm,multi_hop_relationship||description<SEP>filter worm,multi_hop_relationship||description<SEP>filter
What are the necessary steps to take in order to identify the methods employed by Dragonfly 2.0?,<PATH>uses_attack_pattern<SEP>detected_by</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by
Is Exploitation for Credential Access Mitigation a viable strategy for combating ransomware?,<PATH>mitigates<SEP>used_by_malware<SEP>description<SEP>filter ransomware</PATH>,multi_hop_relationship,mitigates<SEP>used_by_malware<SEP>description<SEP>filter ransomware,multi_hop_relationship||mitigates<SEP>used_by_malware<SEP>description<SEP>filter ransomware,multi_hop_relationship||mitigates<SEP>used_by_malware<SEP>description<SEP>filter
"What attack pattern does the AvosLocker typically target, affecting the specified asset?",<PATH>uses_attack_pattern<SEP>targets</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_attack_pattern<SEP>targets
What is the recommended course of action to prevent Project File Infection from occurring?,<PATH>mitigated_by</PATH>,multi_hop_relationship,mitigated_by,multi_hop_relationship||mitigated_by,multi_hop_relationship||mitigated_by
Does Mavinject often accompany backdoor malware?,<PATH>used_by_malware<SEP>description<SEP>filter backdoor</PATH>,multi_hop_relationship,used_by_malware<SEP>description<SEP>filter backdoor,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter backdoor,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter
What remediation domains are essential for addressing the techniques employed by BlackCat?,<PATH>uses_attack_pattern<SEP>detected_by<SEP>x_mitre_domains</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>detected_by<SEP>x_mitre_domains,multi_hop_relationship||uses_attack_pattern<SEP>detected_by<SEP>x_mitre_domains,multi_hop_relationship||uses_attack_pattern<SEP>detected_by<SEP>x_mitre_domains
Does the backdoor use Internal Defacement as its primary mechanism?,<PATH>used_by_malware<SEP>description<SEP>filter backdoor</PATH>,multi_hop_relationship,used_by_malware<SEP>description<SEP>filter backdoor,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter backdoor,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter
What remediation steps are required to counteract the tactics used by HTTPBrowser?,<PATH>uses_attack_pattern<SEP>detected_by</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by
What types of cyber attacks specifically target the assets compromised by the PowerShower?,<PATH>uses_attack_pattern<SEP>targets</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_attack_pattern<SEP>targets
Which domains are involved in the attack process initiated by the tools employed by the Industroyer2?,<PATH>uses_tool<SEP>uses_attack_pattern<SEP>x_mitre_domains</PATH>,multi_hop_relationship,uses_tool<SEP>uses_attack_pattern<SEP>x_mitre_domains,multi_hop_relationship||uses_tool<SEP>uses_attack_pattern<SEP>x_mitre_domains,multi_hop_relationship||uses_tool<SEP>uses_attack_pattern<SEP>x_mitre_domains
Are there any instances where Identify Roles is used by spyware?,<PATH>used_by_malware<SEP>description<SEP>filter spyware</PATH>,multi_hop_relationship,used_by_malware<SEP>description<SEP>filter spyware,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter spyware,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter
What are the primary domains that the XLoader leverages to execute its malicious activities?,<PATH>uses_tool<SEP>uses_attack_pattern<SEP>x_mitre_domains</PATH>,multi_hop_relationship,uses_tool<SEP>uses_attack_pattern<SEP>x_mitre_domains,multi_hop_relationship||uses_tool<SEP>uses_attack_pattern<SEP>x_mitre_domains,multi_hop_relationship||uses_tool<SEP>uses_attack_pattern<SEP>x_mitre_domains
Can you provide details on POSHSPY campaigns that have had a significant impact?,<PATH>used_by_campaign</PATH>,multi_hop_relationship,used_by_campaign,multi_hop_relationship||used_by_campaign,multi_hop_relationship||used_by_campaign
What domains does the NDiskMonitor use to connect with its command and control servers during an attack?,<PATH>uses_tool<SEP>uses_attack_pattern<SEP>x_mitre_domains</PATH>,multi_hop_relationship,uses_tool<SEP>uses_attack_pattern<SEP>x_mitre_domains,multi_hop_relationship||uses_tool<SEP>uses_attack_pattern<SEP>x_mitre_domains,multi_hop_relationship||uses_tool<SEP>uses_attack_pattern<SEP>x_mitre_domains
What remediation steps are required to counteract the tactics used by Crimson?,<PATH>uses_attack_pattern<SEP>detected_by</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by
Is Call Log  a common feature of spyware malware?,<PATH>used_by_malware<SEP>description<SEP>filter spyware</PATH>,multi_hop_relationship,used_by_malware<SEP>description<SEP>filter spyware,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter spyware,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter
What steps should be taken to rectify the vulnerabilities exploited by WIRTE?,<PATH>uses_attack_pattern<SEP>detected_by</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by
Does Device Type Discovery involve a worm?,<PATH>used_by_malware<SEP>description<SEP>filter worm</PATH>,multi_hop_relationship,used_by_malware<SEP>description<SEP>filter worm,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter worm,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter
Can Use Recent OS Version help reduce the risk of ransomware attacks?,<PATH>mitigates<SEP>used_by_malware<SEP>description<SEP>filter ransomware</PATH>,multi_hop_relationship,mitigates<SEP>used_by_malware<SEP>description<SEP>filter ransomware,multi_hop_relationship||mitigates<SEP>used_by_malware<SEP>description<SEP>filter ransomware,multi_hop_relationship||mitigates<SEP>used_by_malware<SEP>description<SEP>filter
What kinds of assets are most susceptible to Akira infections?,<PATH>uses_attack_pattern<SEP>targets</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_attack_pattern<SEP>targets
What are the essential parameters that need to be set to identify the methods employed by Taidoor?,<PATH>uses_attack_pattern<SEP>detected_by</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by,multi_hop_relationship||uses_attack_pattern<SEP>detected_by
How effective is LLMNR/NBT-NS Poisoning Mitigation in countering ransomware threats?,<PATH>mitigates<SEP>used_by_malware<SEP>description<SEP>filter ransomware</PATH>,multi_hop_relationship,mitigates<SEP>used_by_malware<SEP>description<SEP>filter ransomware,multi_hop_relationship||mitigates<SEP>used_by_malware<SEP>description<SEP>filter ransomware,multi_hop_relationship||mitigates<SEP>used_by_malware<SEP>description<SEP>filter
Can ransomware be characterized by its use of the Archive Collected Data?,<PATH>used_by_malware<SEP>description<SEP>filter ransomware</PATH>,multi_hop_relationship,used_by_malware<SEP>description<SEP>filter ransomware,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter ransomware,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter
What is the primary attack pattern employed by the malware tools involved in the CURIUM campaigns?,<PATH>is_responsible<SEP>uses_malware<SEP>uses_tool<SEP>uses_attack_pattern</PATH>,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>uses_tool<SEP>uses_attack_pattern,multi_hop_relationship||is_responsible<SEP>uses_malware<SEP>uses_tool<SEP>uses_attack_pattern,multi_hop_relationship||is_responsible<SEP>uses_malware<SEP>uses_tool<SEP>uses_attack_pattern
Describe the nature of Uncommonly Used Port in the world of cybersecurity.,<PATH>description</PATH>,multi_hop_relationship,description,multi_hop_relationship||description,multi_hop_relationship||description
What role does Service Registry Permissions Weakness Mitigation play in preventing trojan malware?,<PATH>mitigates<SEP>used_by_malware<SEP>description<SEP>filter trojan</PATH>,multi_hop_relationship,mitigates<SEP>used_by_malware<SEP>description<SEP>filter trojan,multi_hop_relationship||mitigates<SEP>used_by_malware<SEP>description<SEP>filter trojan,multi_hop_relationship||mitigates<SEP>used_by_malware<SEP>description<SEP>filter
What essential asset is often the main objective of the malicious operations conducted using malware associated with the LazyScripter campaign?,<PATH>is_responsible<SEP>uses_malware<SEP>uses_attack_pattern<SEP>targets</PATH>,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>uses_attack_pattern<SEP>targets,multi_hop_relationship||is_responsible<SEP>uses_malware<SEP>uses_attack_pattern<SEP>targets,multi_hop_relationship||is_responsible<SEP>uses_malware<SEP>uses_attack_pattern<SEP>targets
Is Socket Filters a key component of spyware attacks?,<PATH>used_by_malware<SEP>description<SEP>filter spyware</PATH>,multi_hop_relationship,used_by_malware<SEP>description<SEP>filter spyware,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter spyware,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter
Which assets are at risk of being compromised by APT-C-23's malicious activities?,<PATH>uses_malware<SEP>uses_attack_pattern<SEP>targets</PATH>,multi_hop_relationship,uses_malware<SEP>uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_malware<SEP>uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_malware<SEP>uses_attack_pattern<SEP>targets
What security strategy can be employed to mitigate the risks associated with AutoHotKey & AutoIT?,<PATH>mitigated_by</PATH>,multi_hop_relationship,mitigated_by,multi_hop_relationship||mitigated_by,multi_hop_relationship||mitigated_by
What types of attacks directly affect the valuable assets compromised by Indrik Spider?,<PATH>uses_malware<SEP>uses_attack_pattern<SEP>targets</PATH>,multi_hop_relationship,uses_malware<SEP>uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_malware<SEP>uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_malware<SEP>uses_attack_pattern<SEP>targets
What are the significant programs associated with Umbreon?,<PATH>used_by_campaign</PATH>,multi_hop_relationship,used_by_campaign,multi_hop_relationship||used_by_campaign,multi_hop_relationship||used_by_campaign
What type of attack pattern is typically associated with the tools employed by malware linked to the Dust Storm campaigns?,<PATH>is_responsible<SEP>uses_malware<SEP>uses_tool<SEP>uses_attack_pattern</PATH>,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>uses_tool<SEP>uses_attack_pattern,multi_hop_relationship||is_responsible<SEP>uses_malware<SEP>uses_tool<SEP>uses_attack_pattern,multi_hop_relationship||is_responsible<SEP>uses_malware<SEP>uses_tool<SEP>uses_attack_pattern
Is ZxShell a malicious program that functions as spyware?,<PATH>description<SEP>filter spyware</PATH>,multi_hop_relationship,description<SEP>filter spyware,multi_hop_relationship||description<SEP>filter spyware,multi_hop_relationship||description<SEP>filter
Can Binary Padding Mitigation be used to neutralize spyware threats?,<PATH>mitigates<SEP>used_by_malware<SEP>description<SEP>filter spyware</PATH>,multi_hop_relationship,mitigates<SEP>used_by_malware<SEP>description<SEP>filter spyware,multi_hop_relationship||mitigates<SEP>used_by_malware<SEP>description<SEP>filter spyware,multi_hop_relationship||mitigates<SEP>used_by_malware<SEP>description<SEP>filter
"How was the Maroochy Water Breach carried out, and what type of malicious software was involved?",<PATH>uses_attack_pattern<SEP>description</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>description,multi_hop_relationship||uses_attack_pattern<SEP>description,multi_hop_relationship||uses_attack_pattern<SEP>description
"What are the goals of DarkTortilla, and how do they differ from one type to another?",<PATH>uses_attack_pattern<SEP>x_mitre_tactic_type</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>x_mitre_tactic_type,multi_hop_relationship||uses_attack_pattern<SEP>x_mitre_tactic_type,multi_hop_relationship||uses_attack_pattern<SEP>x_mitre_tactic_type
What are the most common types of attacks that target the assets impacted by the Calisto?,<PATH>uses_attack_pattern<SEP>targets</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_attack_pattern<SEP>targets
What proactive measure can be taken to prevent or mitigate the consequences of Rogue Cellular Base Station?,<PATH>mitigated_by</PATH>,multi_hop_relationship,mitigated_by,multi_hop_relationship||mitigated_by,multi_hop_relationship||mitigated_by
Which security protocol is designed to prevent or minimize the effects of Bidirectional Communication?,<PATH>mitigated_by</PATH>,multi_hop_relationship,mitigated_by,multi_hop_relationship||mitigated_by,multi_hop_relationship||mitigated_by
How do security experts gather data to analyze the behavior of QuietSieve and what are the primary sources of this data?,<PATH>uses_attack_pattern<SEP>x_mitre_data_sources</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>x_mitre_data_sources,multi_hop_relationship||uses_attack_pattern<SEP>x_mitre_data_sources,multi_hop_relationship||uses_attack_pattern<SEP>x_mitre_data_sources
What effect does Privileged Process Integrity have on spyware?,<PATH>mitigates<SEP>used_by_malware<SEP>description<SEP>filter spyware</PATH>,multi_hop_relationship,mitigates<SEP>used_by_malware<SEP>description<SEP>filter spyware,multi_hop_relationship||mitigates<SEP>used_by_malware<SEP>description<SEP>filter spyware,multi_hop_relationship||mitigates<SEP>used_by_malware<SEP>description<SEP>filter
What is the purpose of VNC in cyber attacks?,<PATH>description</PATH>,multi_hop_relationship,description,multi_hop_relationship||description,multi_hop_relationship||description
Break down the efforts aimed at InvisiMole mitigation.,<PATH>used_by_campaign</PATH>,multi_hop_relationship,used_by_campaign,multi_hop_relationship||used_by_campaign,multi_hop_relationship||used_by_campaign
Can you give me a list of HiddenWasp-related campaigns that have been detected in recent months?,<PATH>used_by_campaign</PATH>,multi_hop_relationship,used_by_campaign,multi_hop_relationship||used_by_campaign,multi_hop_relationship||used_by_campaign
Can you give me a list of EvilGrab-related campaigns that have been detected in recent months?,<PATH>used_by_campaign</PATH>,multi_hop_relationship,used_by_campaign,multi_hop_relationship||used_by_campaign,multi_hop_relationship||used_by_campaign
What are the primary techniques used by Spyware?,<PATH>is_malware_type<SEP>filter spyware<SEP>uses_attack_pattern</PATH>,multi_hop_relationship,is_malware_type<SEP>filter spyware<SEP>uses_attack_pattern,multi_hop_relationship||is_malware_type<SEP>filter spyware<SEP>uses_attack_pattern,multi_hop_relationship||is_malware_type<SEP>filter<SEP>uses_attack_pattern
Can you identify the key sources of data used by POLONIUM in their malicious operations?,<PATH>uses_attack_pattern<SEP>x_mitre_data_sources</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>x_mitre_data_sources,multi_hop_relationship||uses_attack_pattern<SEP>x_mitre_data_sources,multi_hop_relationship||uses_attack_pattern<SEP>x_mitre_data_sources
Which types of cyber attacks aim to exploit the vulnerabilities created by the FIVEHANDS?,<PATH>uses_attack_pattern<SEP>targets</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_attack_pattern<SEP>targets
What are the main types of attacks that target the critical assets influenced by Sandworm Team?,<PATH>uses_malware<SEP>uses_attack_pattern<SEP>targets</PATH>,multi_hop_relationship,uses_malware<SEP>uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_malware<SEP>uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_malware<SEP>uses_attack_pattern<SEP>targets
What remediation measures are required to counter the tactics used by Dvmap?,<PATH>uses_attack_pattern<SEP>detects</PATH>,multi_hop_relationship,uses_attack_pattern<SEP>detects,multi_hop_relationship||uses_attack_pattern<SEP>detects,multi_hop_relationship||uses_attack_pattern<SEP>detects
Does Lokibot fall under the category of spyware?,<PATH>description<SEP>filter spyware</PATH>,multi_hop_relationship,description<SEP>filter spyware,multi_hop_relationship||description<SEP>filter spyware,multi_hop_relationship||description<SEP>filter
Which malicious activities specifically target the key assets affected by TA551?,<PATH>uses_malware<SEP>uses_attack_pattern<SEP>targets</PATH>,multi_hop_relationship,uses_malware<SEP>uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_malware<SEP>uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_malware<SEP>uses_attack_pattern<SEP>targets
Is SUNSPOT classified as a ransomware threat?,<PATH>description<SEP>filter ransomware</PATH>,multi_hop_relationship,description<SEP>filter ransomware,multi_hop_relationship||description<SEP>filter ransomware,multi_hop_relationship||description<SEP>filter
What types of assets are typically targeted by attacks carried out by Andariel?,<PATH>uses_malware<SEP>uses_attack_pattern<SEP>targets</PATH>,multi_hop_relationship,uses_malware<SEP>uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_malware<SEP>uses_attack_pattern<SEP>targets,multi_hop_relationship||uses_malware<SEP>uses_attack_pattern<SEP>targets
How does Transmitted Data Manipulation Mitigation protect against trojan attacks?,<PATH>mitigates<SEP>used_by_malware<SEP>description<SEP>filter trojan</PATH>,multi_hop_relationship,mitigates<SEP>used_by_malware<SEP>description<SEP>filter trojan,multi_hop_relationship||mitigates<SEP>used_by_malware<SEP>description<SEP>filter trojan,multi_hop_relationship||mitigates<SEP>used_by_malware<SEP>description<SEP>filter
What vital resource is often compromised by malware used in a Confucius attack?,<PATH>is_responsible<SEP>uses_malware<SEP>uses_attack_pattern<SEP>targets</PATH>,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>uses_attack_pattern<SEP>targets,multi_hop_relationship||is_responsible<SEP>uses_malware<SEP>uses_attack_pattern<SEP>targets,multi_hop_relationship||is_responsible<SEP>uses_malware<SEP>uses_attack_pattern<SEP>targets
What are the minimum system requirements necessary for the malware used in APT1's campaigns to function properly?,<PATH>is_responsible<SEP>uses_malware<SEP>uses_attack_pattern<SEP>x_mitre_system_requirements</PATH>,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>uses_attack_pattern<SEP>x_mitre_system_requirements,multi_hop_relationship||is_responsible<SEP>uses_malware<SEP>uses_attack_pattern<SEP>x_mitre_system_requirements,multi_hop_relationship||is_responsible<SEP>uses_malware<SEP>uses_attack_pattern<SEP>x_mitre_system_requirements
Does the given Bandook match the characteristics of ransomware?,<PATH>description<SEP>filter ransomware</PATH>,multi_hop_relationship,description<SEP>filter ransomware,multi_hop_relationship||description<SEP>filter ransomware,multi_hop_relationship||description<SEP>filter
What role does DNS play in the spread of spyware?,<PATH>used_by_malware<SEP>description<SEP>filter spyware</PATH>,multi_hop_relationship,used_by_malware<SEP>description<SEP>filter spyware,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter spyware,multi_hop_relationship||used_by_malware<SEP>description<SEP>filter
